0 	 3.89314e+28 	 7.84846e+28 	 5.43695e+34
2.5e-10 	 3.89249e+28 	 7.84757e+28 	 5.02874e+34
5e-10 	 3.89324e+28 	 7.84985e+28 	 4.6484e+34
7.5e-10 	 3.89676e+28 	 7.8604e+28 	 4.45688e+34
1e-09 	 3.90101e+28 	 7.88166e+28 	 4.35503e+34
1.25e-09 	 3.90865e+28 	 7.91618e+28 	 4.21572e+34
1.5e-09 	 3.92076e+28 	 7.96036e+28 	 4.03032e+34
1.75e-09 	 3.93961e+28 	 8.03369e+28 	 3.93013e+34
2e-09 	 3.96194e+28 	 8.1241e+28 	 3.82423e+34
2.25e-09 	 3.99183e+28 	 8.24383e+28 	 3.81164e+34
2.5e-09 	 4.02789e+28 	 8.38293e+28 	 3.73465e+34
2.75e-09 	 4.06609e+28 	 8.54649e+28 	 3.7802e+34
3e-09 	 4.1123e+28 	 8.71903e+28 	 3.77825e+34
3.25e-09 	 4.16166e+28 	 8.89459e+28 	 3.81788e+34
3.5e-09 	 4.21656e+28 	 9.0884e+28 	 3.80511e+34
3.75e-09 	 4.27378e+28 	 9.30276e+28 	 3.84702e+34
4e-09 	 4.3341e+28 	 9.52514e+28 	 3.85506e+34
4.25e-09 	 4.39888e+28 	 9.77058e+28 	 3.79635e+34
4.5e-09 	 4.47457e+28 	 1.00517e+29 	 3.72639e+34
4.75e-09 	 4.55223e+28 	 1.03234e+29 	 3.84983e+34
5e-09 	 4.62749e+28 	 1.06274e+29 	 3.79846e+34
